"age","male","female"
0,1378532,1334712
1,1369425,1325484
2,1387143,1339814
3,1419295,1371487
4,1462592,1407674
5,1493253,1438735
6,1472635,1421784
7,1506828,1452364
8,1528003,1467609
9,1623425,1564739
10,1793146,1712070
11,1709291,1643553
12,1727220,1675022
13,1728588,1684160
14,1767168,1726543
15,1802172,1772757
16,1719415,1691289
17,1701889,1670352
18,1699061,1668111
19,1636331,1629495
20,1698081,1691648
21,1713268,1708468
22,1760477,1750020
23,1709675,1710579
24,1748728,1754248
25,1725173,1729872
26,1631055,1667163
27,1710763,1756309
28,1737767,1777879
29,1656237,1712196
30,1763562,1785240
31,1523891,1604353
32,1548975,1616671
33,1458789,1523907
34,1422441,1496683
35,1468144,1522780
36,1344132,1419081
37,1326646,1413539
38,1325659,1386788
39,1302083,1379727
40,1422254,1458121
41,1235034,1316498
42,1281124,1342824
43,1177147,1273411
44,1205009,1297942
45,1263401,1326973
46,1173710,1277761
47,1129200,1231074
48,1079370,1164125
49,1046333,1141405
50,1112034,1185532
51,948591,1043550
52,985045,1072188
53,905975,1003881
54,883350,1000256
55,877013,981986
56,826882,923370
57,751293,846389
58,742051,831864
59,705105,790268
60,737957,828340
61,602476,685880
62,613839,696871
63,562959,647505
64,523804,609489
65,529674,612257
66,468666,554433
67,440243,517554
68,408863,481535
69,376619,450966
70,419302,508323
71,335925,407322
72,323844,399311
73,294410,375966
74,293891,383342
75,265369,347796
76,225782,300854
77,211817,288022
78,206262,279883
79,181287,256375
80,183850,267401
81,139772,203290
82,129748,193899
83,114919,176495
84,100334,157264
85,87856,138790
86,72953,117267
87,60074,100588
88,49839,81920
89,40037,70159
90,37970,67510
91,26745,46409
92,21371,39539
93,16052,32021
94,12826,26115
95,10317,21515
96,7905,16184
97,5743,12265
98,4314,9395
99,3250,7447
